id,city,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6522,Logan,Harrison County,IA,Iowa,51546,City,41.64305,-95.7889,712,1465,607,52396,2598410,0,America/Chicago
6523,Lohrville,Calhoun County,IA,Iowa,51453,City,42.27026,-94.54859,712,350,156,45625,5551013,0,America/Chicago
6524,Lone Rock,Kossuth County,IA,Iowa,50559,City,43.21857,-94.32691,515,142,65,38750,305965,0,America/Chicago
6525,Lone Tree,Johnson County,IA,Iowa,52755,City,41.48808,-91.42599,319,1415,586,58750,2699486,0,America/Chicago
6526,Long Grove,Scott County,IA,Iowa,52748 52756,City,41.69753,-90.58264,563,844,302,97353,2986646,0,America/Chicago
6527,Lorimor,Union County,IA,Iowa,50149,City,41.12832,-94.05328,641,349,181,30250,981304,0,America/Chicago
6528,Lost Nation,Clinton County,IA,Iowa,52254,City,41.96391,-90.81764,563,424,176,35000,1645453,0,America/Chicago
6529,Loveland,Pottawattamie County,IA,Iowa,51555,CDP,41.49722,-95.89001,712,37,18,62620,163941,0,America/Chicago
6530,Lovilia,Monroe County,IA,Iowa,50150,City,41.13584,-92.90409,641,519,225,36250,1301034,0,America/Chicago
6531,Lowden,Cedar County,IA,Iowa,52255,City,41.85752,-90.9282,563,770,365,38750,2646311,0,America/Chicago
6532,Low Moor,Clinton County,IA,Iowa,52730 52757,City,41.8017,-90.35485,563,279,73,43281,1203077,0,America/Chicago
6533,Luana,Clayton County,IA,Iowa,52156,City,43.06026,-91.45403,563,276,129,41458,2725269,0,America/Chicago
6534,Lucas,Lucas County,IA,Iowa,50151,City,41.02833,-93.45993,641,213,82,50000,2500615,23342,America/Chicago
6535,Luther,Boone County,IA,Iowa,50152 50156,City,41.96776,-93.81884,515,123,76,55000,2006052,0,America/Chicago
6536,Lu Verne,Kossuth County/Humboldt County,IA,Iowa,50560,City,42.90923,-94.08363,515,255,106,39167,5853689,0,America/Chicago
6537,Luxemburg,Dubuque County,IA,Iowa,52052 52056 52065,City,42.60277,-91.07402,563,252,88,47500,1223750,0,America/Chicago
6538,Luzerne,Benton County,IA,Iowa,52257,City,41.89805,-92.17991,319,94,31,55625,314786,0,America/Chicago
6539,Lynnville,Jasper County,IA,Iowa,50153,City,41.5775,-92.78353,641,390,198,63056,2862035,0,America/Chicago
6540,Lytton,Calhoun County/Sac County,IA,Iowa,50561,City,42.4233,-94.8605,712,301,131,54688,513543,0,America/Chicago
6541,Macedonia,Pottawattamie County,IA,Iowa,51549,City,41.19277,-95.42556,712,245,127,51094,852300,0,America/Chicago
6542,Macksburg,Madison County,IA,Iowa,50155,City,41.21471,-94.18523,641,111,66,45833,5147366,0,America/Chicago
6543,Madrid,Boone County,IA,Iowa,50156,City,41.87665,-93.82328,515,2588,1001,54386,3079192,0,America/Chicago
6544,Magnolia,Harrison County,IA,Iowa,51550,City,41.69582,-95.87668,712,174,65,56250,1471706,0,America/Chicago
6545,Maharishi Vedic City,Jefferson County,IA,Iowa,52556,City,41.05252,-91.9949,641,1299,121,51250,8700834,0,America/Chicago
6546,Malcom,Poweshiek County,IA,Iowa,50157,City,41.70833,-92.55908,641,278,155,40313,1583600,0,America/Chicago
6547,Mallard,Palo Alto County,IA,Iowa,50562,City,42.93636,-94.6822,712,267,173,33438,1050430,0,America/Chicago
6548,Maloy,Ringgold County,IA,Iowa,50835 50836,City,40.67443,-94.41218,641,29,8,71250,1594317,11439,America/Chicago
6549,Malvern,Mills County,IA,Iowa,51551,City,41.00278,-95.58528,712,1117,391,62440,3091528,0,America/Chicago
6550,Manchester,Delaware County,IA,Iowa,52057,City,42.48415,-91.45543,563,5073,2201,43194,12565418,39279,America/Chicago
6551,Manilla,Crawford County,IA,Iowa,51454,City,41.88971,-95.23222,712,775,404,40833,2675615,0,America/Chicago
6552,Manly,Worth County,IA,Iowa,50456,City,43.28718,-93.20215,641,1310,545,42316,3796802,0,America/Chicago
6553,Manning,Carroll County,IA,Iowa,51455,City,41.90915,-95.06499,712,1472,679,43125,6439497,17812,America/Chicago
6554,Manson,Calhoun County,IA,Iowa,50563,City,42.52914,-94.53414,712,1615,806,35906,8224582,0,America/Chicago
6555,Mapleton,Monona County,IA,Iowa,51034,City,42.16582,-95.79306,712,1214,647,38317,4152315,0,America/Chicago
6556,Maquoketa,Clinton County/Jackson County,IA,Iowa,52060,City,42.06053,-90.66386,563,5989,2627,36431,11223961,90929,America/Chicago
6557,Marathon,Buena Vista County,IA,Iowa,50565,City,42.86164,-94.98249,712,239,109,42250,1940810,0,America/Chicago
6558,Marble Rock,Floyd County,IA,Iowa,50653,City,42.96525,-92.86853,641,301,141,36354,2148515,97055,America/Chicago
6559,Marcus,Cherokee County,IA,Iowa,51035,City,42.82582,-95.80751,712,1070,551,55625,3981586,0,America/Chicago
6560,Marengo,Iowa County,IA,Iowa,52301,City,41.79806,-92.07074,319,2513,974,44083,5384451,157498,America/Chicago
6561,Marion,Linn County,IA,Iowa,52302 52402 52403,City,42.03417,-91.59768,319,37330,14590,62532,41570298,34529,America/Chicago
6562,Marne,Cass County,IA,Iowa,51552,City,41.45138,-95.11138,712,116,32,57500,1488688,0,America/Chicago
6563,Marquette,Clayton County,IA,Iowa,52157 52158,City,43.04443,-91.17819,563,451,222,32727,4497792,174963,America/Chicago
6564,Marshalltown,Marshall County,IA,Iowa,50158,City,42.04943,-92.90798,641,27620,10054,48750,49937222,68292,America/Chicago
6565,Martelle,Jones County,IA,Iowa,52305,City,42.02167,-91.35989,319,254,122,41250,868800,0,America/Chicago
6566,Martensdale,Warren County,IA,Iowa,50160,City,41.37305,-93.73578,641,472,190,55938,973341,0,America/Chicago
6567,Martinsburg,Keokuk County,IA,Iowa,52563 52568,City,41.1789,-92.25185,641,110,52,60500,971524,0,America/Chicago
6568,Marysville,Marion County,IA,Iowa,50116,City,41.18056,-92.94909,641,66,6,40000,949271,0,America/Chicago
6569,Mason City,Cerro Gordo County,IA,Iowa,50401 50402,City,43.15357,-93.20104,641,27366,12873,42009,71974380,787135,America/Chicago
6570,Masonville,Delaware County,IA,Iowa,50654,City,42.47943,-91.59127,563,124,60,33750,859152,0,America/Chicago
6571,Massena,Cass County,IA,Iowa,50853,City,41.25415,-94.76831,712,348,172,36964,1794761,0,America/Chicago
6572,Matlock,Sioux County,IA,Iowa,51201 51244,City,43.24387,-95.9353,712,88,39,70625,958469,0,America/Chicago
6573,Maurice,Sioux County,IA,Iowa,51036,City,42.96638,-96.18058,712,280,113,56625,1421033,14621,America/Chicago
6574,Maxwell,Story County,IA,Iowa,50161,City,41.89193,-93.39965,515,923,403,61513,2865353,0,America/Chicago
6575,Maynard,Fayette County,IA,Iowa,50655,City,42.77387,-91.88239,563,499,235,47813,2569223,65649,America/Chicago
6576,Maysville,Scott County,IA,Iowa,52773,City,41.64864,-90.71681,563,180,74,47500,707847,0,America/Chicago
6577,McCallsburg,Story County,IA,Iowa,50154,City,42.16637,-93.38576,515,335,154,46154,1203261,0,America/Chicago
6578,McCausland,Scott County,IA,Iowa,52756 52758,City,41.74614,-90.44319,563,314,130,64286,1439766,59214,America/Chicago
6579,McClelland,Pottawattamie County,IA,Iowa,51548,City,41.32944,-95.6839,712,151,48,63750,432643,0,America/Chicago
6580,McGregor,Clayton County,IA,Iowa,52157,City,43.01832,-91.18263,563,839,398,44583,3371197,4978,America/Chicago
6581,McIntire,Mitchell County,IA,Iowa,50455,City,43.4358,-92.59379,641,121,46,30417,2625603,0,America/Chicago
6582,Mechanicsville,Cedar County,IA,Iowa,52306,City,41.90446,-91.25461,319,1108,457,52813,2151035,5076,America/Chicago
6583,Mediapolis,Des Moines County,IA,Iowa,52637,City,41.00809,-91.16404,319,1574,606,47222,3119520,0,America/Chicago
6584,Melbourne,Marshall County,IA,Iowa,50162,City,41.94138,-93.10326,641,827,345,48906,1464787,0,America/Chicago
6585,Melcher-Dallas,Marion County,IA,Iowa,50062 50163,City,41.225,-93.24132,641,1259,531,40347,2578457,0,America/Chicago
6586,Melrose,Monroe County,IA,Iowa,52569,City,40.97612,-93.05048,641,110,58,36250,2615809,0,America/Chicago
6587,Melvin,Osceola County,IA,Iowa,51350,City,43.28747,-95.60918,712,206,118,41875,459462,0,America/Chicago
6588,Menlo,Guthrie County,IA,Iowa,50164,City,41.51915,-94.40441,641,343,149,41250,1213512,0,America/Chicago
6589,Meriden,Cherokee County,IA,Iowa,51037,City,42.79471,-95.63445,712,150,87,37917,289159,0,America/Chicago
6590,Merrill,Plymouth County,IA,Iowa,51038,City,42.71971,-96.24864,712,733,335,57344,1467414,0,America/Chicago
6591,Meservey,Cerro Gordo County,IA,Iowa,50457,City,42.91274,-93.47826,641,248,109,43750,3903061,0,America/Chicago
6592,Meyer,Mitchell County,IA,Iowa,50455,CDP,43.45775,-92.69268,641,0,0,0,1833207,0,America/Chicago
6593,Middle Amana,Iowa County,IA,Iowa,52203 52307,CDP,41.79556,-91.89962,319,595,220,76719,2737131,0,America/Chicago
6594,Middletown,Des Moines County,IA,Iowa,52638,City,40.82837,-91.25904,319,338,115,52917,1577555,0,America/Chicago
6595,Miles,Jackson County,IA,Iowa,52064,City,42.04836,-90.31569,563,439,204,45500,3106273,0,America/Chicago
6596,Milford,Dickinson County,IA,Iowa,51351,City,43.32469,-95.15,712,3018,1303,46427,5904097,28589,America/Chicago
6597,Miller,Hancock County,IA,Iowa,50438,CDP,43.18412,-93.60021,641,0,0,0,5440538,0,America/Chicago
6598,Millersburg,Iowa County,IA,Iowa,52308 52316,City,41.57334,-92.1599,319,159,93,48068,349981,0,America/Chicago
6599,Millerton,Wayne County,IA,Iowa,50165,City,40.84945,-93.30549,641,45,16,81250,536884,0,America/Chicago
6600,Milo,Warren County,IA,Iowa,50166,City,41.29166,-93.44243,641,772,291,58068,1612646,0,America/Chicago
