id,city,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6850,Springville,Linn County,IA,Iowa,52336,City,42.05945,-91.44267,319,1139,439,57750,1849921,5871,America/Chicago
6851,Stacyville,Mitchell County,IA,Iowa,50476,City,43.43608,-92.78241,641,473,258,41000,1328474,59025,America/Chicago
6852,Stanhope,Hamilton County,IA,Iowa,50246,City,42.28887,-93.79606,515,412,176,48333,2507860,0,America/Chicago
6853,Stanley,Fayette County/Buchanan County,IA,Iowa,50671,City,42.64196,-91.81189,319,125,42,45000,623254,1113,America/Chicago
6854,St. Ansgar,Mitchell County,IA,Iowa,50472,City,43.3783,-92.91881,641,1156,483,46771,2797934,0,America/Chicago
6855,St. Anthony,Marshall County,IA,Iowa,50051 50239,City,42.12221,-93.19493,641,103,36,40833,1451590,0,America/Chicago
6856,Stanton,Montgomery County,IA,Iowa,51573,City,40.98166,-95.10415,712,639,291,58942,2370924,0,America/Chicago
6857,Stanwood,Cedar County,IA,Iowa,52337,City,41.89307,-91.15071,319,662,272,48500,1851629,0,America/Chicago
6858,State Center,Marshall County,IA,Iowa,50247,City,42.01665,-93.16354,641,1470,540,57661,2552724,0,America/Chicago
6859,St. Benedict,Kossuth County,IA,Iowa,50483 50511,CDP,43.03802,-94.0644,515,29,13,65313,1986738,0,America/Chicago
6860,St. Charles,Madison County,IA,Iowa,50240,City,41.28833,-93.80939,641,628,261,65250,1391701,0,America/Chicago
6861,St. Donatus,Jackson County,IA,Iowa,52031 52071,City,42.36084,-90.5393,563,131,49,50313,959951,0,America/Chicago
6862,Steamboat Rock,Hardin County,IA,Iowa,50672,City,42.40943,-93.06576,641,309,117,34063,1411264,0,America/Chicago
6863,St. Joseph,Kossuth County,IA,Iowa,50519,CDP,42.9133,-94.22719,515,43,6,42285,2231673,0,America/Chicago
6864,St. Lucas,Fayette County,IA,Iowa,52166 52171,City,43.06636,-91.9335,563,138,78,56389,689164,0,America/Chicago
6865,St. Marys,Warren County,IA,Iowa,50240,City,41.30805,-93.72966,641,128,79,77574,361422,0,America/Chicago
6866,Stockport,Van Buren County,IA,Iowa,52651,City,40.85753,-91.83517,319,293,112,37500,2656369,0,America/Chicago
6867,Stockton,Muscatine County,IA,Iowa,52769,City,41.59142,-90.85876,563,197,71,47917,281357,0,America/Chicago
6868,St. Olaf,Clayton County,IA,Iowa,52072,City,42.9286,-91.38625,563,106,54,38889,632230,0,America/Chicago
6869,Stone City,Jones County,IA,Iowa,52205,CDP,42.11389,-91.34933,319,231,79,120703,4523237,144340,America/Chicago
6870,Storm Lake,Buena Vista County,IA,Iowa,50588,City,42.64109,-95.20972,712,10910,3665,44164,13657402,0,America/Chicago
6871,Story City,Story County,IA,Iowa,50248,City,42.18721,-93.59577,515,3438,1495,52750,7097956,5179,America/Chicago
6872,Stout,Grundy County,IA,Iowa,50665 50673,City,42.52637,-92.71186,319,223,90,58125,765894,0,America/Chicago
6873,St. Paul,Lee County,IA,Iowa,52656 52657,City,40.76948,-91.5171,319,130,41,51250,983113,0,America/Chicago
6874,Stratford,Webster County/Hamilton County,IA,Iowa,50249,City,42.26912,-93.92724,515,725,272,45500,4951978,0,America/Chicago
6875,Strawberry Point,Clayton County,IA,Iowa,52076,City,42.6836,-91.53403,563,1236,578,43365,5471678,0,America/Chicago
6876,Struble,Plymouth County,IA,Iowa,51031,City,42.89527,-96.1953,712,77,29,58750,402496,0,America/Chicago
6877,Stuart,Adair County/Guthrie County,IA,Iowa,50250,City,41.50027,-94.31868,515,1602,687,47679,7129121,0,America/Chicago
6878,Sully,Jasper County,IA,Iowa,50251,City,41.57833,-92.84492,641,822,322,58362,1515957,0,America/Chicago
6879,Sumner,Fayette County/Bremer County,IA,Iowa,50674,City,42.84937,-92.09715,563,2009,901,48641,6524265,34944,America/Chicago
6880,Sun Valley Lake,Ringgold County,IA,Iowa,50074,CDP,40.84911,-94.06813,641,181,97,93281,6264503,1694185,America/Chicago
6881,Superior,Dickinson County,IA,Iowa,51363,City,43.43024,-94.94638,712,129,55,53750,1050224,0,America/Chicago
6882,Sutherland,O'Brien County,IA,Iowa,51058,City,42.97414,-95.49751,712,618,286,48173,2256464,0,America/Chicago
6883,Swaledale,Cerro Gordo County,IA,Iowa,50477,City,42.97858,-93.31687,641,160,74,33750,633910,0,America/Chicago
6884,Swan,Marion County,IA,Iowa,50252,City,41.46527,-93.31132,515,72,24,26250,1666158,0,America/Chicago
6885,Swea City,Kossuth County,IA,Iowa,50590,City,43.3844,-94.31497,515,521,260,38214,1906738,0,America/Chicago
6886,Swisher,Johnson County,IA,Iowa,52338,City,41.84556,-91.69295,319,943,312,74444,2113830,0,America/Chicago
6887,Tabor,Mills County/Fremont County,IA,Iowa,51653,City,40.89494,-95.67371,712,979,435,51875,3335069,0,America/Chicago
6888,Tama,Tama County,IA,Iowa,52339,City,41.96666,-92.57686,641,2819,1032,50610,8440177,383923,America/Chicago
6889,Templeton,Carroll County,IA,Iowa,51463,City,41.91832,-94.94277,712,348,154,46250,1106765,0,America/Chicago
6890,Tennant,Shelby County,IA,Iowa,51537 51570,City,41.5936,-95.44111,712,66,21,24375,1841699,0,America/Chicago
6891,Terril,Dickinson County,IA,Iowa,51364,City,43.30579,-94.97166,712,364,183,35625,1412923,0,America/Chicago
6892,Thayer,Union County,IA,Iowa,50254,City,41.02805,-94.05078,641,56,29,43125,239726,0,America/Chicago
6893,Thompson,Winnebago County,IA,Iowa,50478,City,43.37134,-93.77356,641,487,263,42750,2272042,0,America/Chicago
6894,Thor,Humboldt County,IA,Iowa,50591,City,42.68803,-94.0494,515,181,81,47813,2584007,0,America/Chicago
6895,Thornburg,Keokuk County,IA,Iowa,50255,City,41.45473,-92.33574,641,61,33,62917,509586,0,America/Chicago
6896,Thornton,Cerro Gordo County,IA,Iowa,50479,City,42.94469,-93.38465,641,408,189,41563,3228769,0,America/Chicago
6897,Thurman,Fremont County,IA,Iowa,51654,City,40.82,-95.74778,712,214,83,48250,1440574,0,America/Chicago
6898,Tiffin,Johnson County,IA,Iowa,52240 52322 52340,City,41.70585,-91.66295,319,2657,832,51000,10702755,20868,America/Chicago
6899,Tingley,Ringgold County,IA,Iowa,50863,City,40.85277,-94.19523,641,182,85,51875,1750542,5413,America/Chicago
6900,Tipton,Cedar County,IA,Iowa,52772,City,41.76974,-91.12794,563,3200,1394,47727,5415222,0,America/Chicago
6901,Titonka,Kossuth County,IA,Iowa,50480,City,43.23691,-94.04134,515,452,201,35521,726375,0,America/Chicago
6902,Toeterville,Mitchell County,IA,Iowa,50472,CDP,43.44219,-92.89047,641,36,27,24028,2312831,0,America/Chicago
6903,Toledo,Tama County,IA,Iowa,52342,City,41.99555,-92.57686,641,2202,847,42708,5955274,0,America/Chicago
6904,Toronto,Clinton County,IA,Iowa,52777,City,41.90502,-90.86403,563,120,54,51250,482622,0,America/Chicago
6905,Traer,Tama County,IA,Iowa,50675,City,42.1936,-92.46547,319,1655,724,48889,3064287,0,America/Chicago
6906,Treynor,Pottawattamie County,IA,Iowa,51575,City,41.2325,-95.61306,712,952,387,66420,1501129,0,America/Chicago
6907,Tripoli,Bremer County,IA,Iowa,50676,City,42.80804,-92.25823,319,1342,516,47125,3650129,0,America/Chicago
6908,Truesdale,Buena Vista County,IA,Iowa,50588 50592,City,42.72915,-95.18277,712,81,61,36875,377840,0,America/Chicago
6909,Truro,Madison County,IA,Iowa,50257,City,41.20972,-93.84661,641,483,178,53333,2523886,0,America/Chicago
6910,Turin,Monona County,IA,Iowa,51040,City,42.01943,-95.9664,712,66,41,41250,230264,0,America/Chicago
6911,Twin Lakes,Calhoun County,IA,Iowa,50563 50579,CDP,42.4847,-94.63589,712,288,164,72000,3554578,3891269,America/Chicago
6912,Udell,Appanoose County,IA,Iowa,52593,City,40.78085,-92.74214,641,46,17,35625,825068,0,America/Chicago
6913,Underwood,Pottawattamie County,IA,Iowa,51576,City,41.38694,-95.67667,712,940,314,75192,2842033,65068,America/Chicago
6914,Union,Hardin County,IA,Iowa,50258,City,42.24554,-93.06465,641,386,192,41563,1423361,0,America/Chicago
6915,Unionville,Appanoose County,IA,Iowa,52594,City,40.81835,-92.69547,641,100,39,49688,1929361,0,America/Chicago
6916,University Heights,Johnson County,IA,Iowa,52246,City,41.65502,-91.55684,319,1119,534,52500,694931,0,America/Chicago
6917,University Park,Mahaska County,IA,Iowa,52577 52595,City,41.28695,-92.61853,641,477,198,45625,2002007,0,America/Chicago
6918,Urbana,Benton County,IA,Iowa,52213 52345,City,42.22416,-91.87434,319,1459,544,71375,5715255,565,America/Chicago
6919,Urbandale,Dallas County/Polk County,IA,Iowa,50111 50131 50263 50322 50323 50325,City,41.63679,-93.77983,515,44062,16289,79909,58164701,59113,America/Chicago
6920,Ute,Monona County,IA,Iowa,51060,City,42.05027,-95.70639,712,353,185,36583,1020456,0,America/Chicago
6921,Vail,Crawford County,IA,Iowa,51465,City,42.06193,-95.19999,712,424,161,40417,1478914,0,America/Chicago
6922,Valeria,Jasper County,IA,Iowa,50054,City,41.72999,-93.32521,515,57,22,68333,129337,0,America/Chicago
6923,Van Horne,Benton County,IA,Iowa,52346,City,42.00861,-92.09102,319,664,300,54615,1780836,0,America/Chicago
6924,Van Meter,Dallas County,IA,Iowa,50038 50261,City,41.53193,-93.95412,515,1142,478,83261,5155499,55049,America/Chicago
6925,Van Wert,Decatur County,IA,Iowa,50262,City,40.86972,-93.793,641,215,81,33750,855418,12230,America/Chicago
6926,Varina,Pocahontas County,IA,Iowa,50540 50593,City,42.65803,-94.89776,712,69,31,24904,701175,0,America/Chicago
6927,Ventura,Cerro Gordo County,IA,Iowa,50428 50482,City,43.12635,-93.47771,641,718,348,61250,4595586,1712714,America/Chicago
6928,Victor,Poweshiek County/Iowa County,IA,Iowa,52347,City,41.73074,-92.29474,319,888,449,46172,1255187,0,America/Chicago
6929,Villisca,Montgomery County,IA,Iowa,50864,City,40.92971,-94.97609,712,1194,565,32930,4929899,0,America/Chicago
6930,Vincent,Webster County,IA,Iowa,50594,City,42.59191,-94.02023,515,169,71,50568,659352,0,America/Chicago
6931,Vining,Tama County,IA,Iowa,52348,City,41.98999,-92.37991,641,49,33,61250,1485921,0,America/Chicago
6932,Vinton,Benton County,IA,Iowa,52349,City,42.16861,-92.02351,319,5148,2113,52679,12267986,227413,America/Chicago
6933,Volga,Clayton County,IA,Iowa,52077,City,42.80471,-91.54098,563,205,102,34667,2027420,0,America/Chicago
6934,Wadena,Fayette County,IA,Iowa,52169,City,42.84276,-91.65682,563,253,118,40625,1913455,0,America/Chicago
6935,Wahpeton,Dickinson County,IA,Iowa,51351 51360,City,43.36608,-95.17194,712,343,184,67500,3134474,66522,America/Chicago
6936,Walcott,Scott County/Muscatine County,IA,Iowa,52773,City,41.58732,-90.78052,563,1636,694,52500,8067470,62620,America/Chicago
6937,Walford,Benton County/Linn County,IA,Iowa,52228 52351,City,41.87966,-91.83052,319,1459,495,92303,2507811,0,America/Chicago
6938,Walker,Linn County,IA,Iowa,52352,City,42.28666,-91.78073,319,792,276,65357,1960673,25984,America/Chicago
6939,Wallingford,Emmet County,IA,Iowa,51365,City,43.31968,-94.79276,712,187,67,49107,2519344,0,America/Chicago
6940,Wall Lake,Sac County,IA,Iowa,51466,City,42.2711,-95.09305,712,795,293,46635,3190174,0,America/Chicago
6941,Walnut,Pottawattamie County,IA,Iowa,51577,City,41.47749,-95.22194,712,776,334,46250,5576495,0,America/Chicago
6942,Wapello,Louisa County,IA,Iowa,52653,City,41.18142,-91.18543,319,2041,748,39231,3352626,124379,America/Chicago
6943,Washburn,Black Hawk County,IA,Iowa,50702,CDP,42.41166,-92.26741,319,957,406,55583,3201939,27902,America/Chicago
6944,Washington,Washington County,IA,Iowa,52353,City,41.29918,-91.69294,319,7408,3161,48708,13581359,6154,America/Chicago
6945,Washta,Cherokee County,IA,Iowa,51061,City,42.57554,-95.71751,712,237,112,30625,2602408,0,America/Chicago
6946,Waterloo,Black Hawk County,IA,Iowa,50613 50701 50702 50703 50704 50707,City,42.49276,-92.34296,319,68460,28834,41461,158996784,4757877,America/Chicago
6947,Waterville,Allamakee County,IA,Iowa,52170,City,43.20776,-91.29763,563,139,65,38125,1112299,0,America/Chicago
6948,Watkins,Benton County,IA,Iowa,52354,CDP,41.89111,-91.98629,319,123,39,61406,1072248,0,America/Chicago
6949,Waucoma,Fayette County,IA,Iowa,52171,City,43.05609,-92.03323,563,257,124,33750,1219559,0,America/Chicago
6950,Waukee,Dallas County,IA,Iowa,50003 50263 50325,City,41.61166,-93.88523,515,18990,5748,78786,34237023,37645,America/Chicago
6951,Waukon,Allamakee County,IA,Iowa,52172,City,43.26942,-91.4757,563,3736,1714,39734,7704928,0,America/Chicago
6952,Waverly,Bremer County,IA,Iowa,50677,City,42.72581,-92.47546,319,10066,3533,62337,29169750,1298130,America/Chicago
6953,Wayland,Henry County,IA,Iowa,52654,City,41.14724,-91.66072,319,969,417,49219,2612843,0,America/Chicago
6954,Webb,Clay County,IA,Iowa,51366,City,42.94858,-95.01193,712,138,65,37292,1303512,0,America/Chicago
6955,Webster,Keokuk County,IA,Iowa,52355,City,41.43834,-92.16907,319,72,44,42500,837004,0,America/Chicago
6956,Webster City,Hamilton County,IA,Iowa,50595,City,42.46942,-93.81605,515,7814,3411,39729,22958112,38463,America/Chicago
6957,Weldon,Decatur County,IA,Iowa,50264,City,40.8975,-93.73494,641,119,60,33750,469807,0,America/Chicago
6958,Wellman,Washington County,IA,Iowa,52356,City,41.46418,-91.83823,319,1431,600,52941,2749292,0,America/Chicago
6959,Wellsburg,Grundy County,IA,Iowa,50680,City,42.45915,-92.93853,641,699,408,43542,2828021,0,America/Chicago
6960,Welton,Clinton County,IA,Iowa,52037 52774,City,41.90808,-90.59541,563,160,58,62000,710888,0,America/Chicago
6961,Wesley,Kossuth County,IA,Iowa,50483,City,43.0883,-93.99023,515,381,147,51250,1491684,0,America/Chicago
6962,West Amana,Iowa County,IA,Iowa,52203,CDP,41.80806,-91.96379,319,222,96,44143,705067,0,America/Chicago
6963,West Bend,Kossuth County/Palo Alto County,IA,Iowa,50597,City,42.95994,-94.44568,515,759,417,44931,2292793,0,America/Chicago
6964,West Branch,Cedar County/Johnson County,IA,Iowa,52358,City,41.66276,-91.34066,319,2337,1047,62652,8265076,0,America/Chicago
6965,West Burlington,Des Moines County,IA,Iowa,52601 52655,City,40.82504,-91.15654,319,3047,1368,39107,12826945,0,America/Chicago
6966,West Chester,Washington County,IA,Iowa,52359,City,41.3389,-91.81767,319,149,56,31667,655956,0,America/Chicago
6967,West Des Moines,Madison County/Warren County/Dallas County/Polk County,IA,Iowa,50038 50061 50261 50263 50265 50266 50321 50398,City,41.54994,-93.78135,515,64113,25261,70882,120108597,2807799,America/Chicago
6968,Westfield,Plymouth County,IA,Iowa,51062,City,42.75555,-96.60587,712,129,68,40833,331198,0,America/Chicago
6969,Westgate,Fayette County,IA,Iowa,50681,City,42.76998,-91.99628,563,203,103,50972,920051,0,America/Chicago
6970,West Liberty,Muscatine County,IA,Iowa,52776,City,41.57002,-91.26377,319,3728,1119,50601,4492702,525,America/Chicago
6971,West Okoboji,Dickinson County,IA,Iowa,51331 51351,City,43.3533,-95.1625,712,295,171,54464,3313645,317159,America/Chicago
6972,Weston,Pottawattamie County,IA,Iowa,51576,CDP,41.34083,-95.74112,712,237,58,99423,1060550,0,America/Chicago
6973,Westphalia,Shelby County,IA,Iowa,51578,City,41.71971,-95.39472,712,126,54,48125,247308,0,America/Chicago
6974,West Point,Lee County,IA,Iowa,52656,City,40.7167,-91.45015,319,962,491,49297,1575241,0,America/Chicago
6975,Westside,Crawford County,IA,Iowa,51467,City,42.05915,-95.09805,712,299,155,54375,3811183,0,America/Chicago
6976,West Union,Fayette County,IA,Iowa,52175,City,42.96276,-91.80822,563,2409,1140,44100,7190468,0,America/Chicago
6977,Westwood,Henry County,IA,Iowa,52641,City,40.96558,-91.62377,319,112,42,86250,394518,7051,America/Chicago
6978,What Cheer,Keokuk County,IA,Iowa,50268,City,41.4014,-92.35463,641,622,281,31339,3168721,45166,America/Chicago
6979,Wheatland,Clinton County,IA,Iowa,52777,City,41.83169,-90.8382,563,733,246,48250,1566766,0,America/Chicago
6980,Whiting,Monona County,IA,Iowa,51063,City,42.12749,-96.14946,712,753,340,41250,2598159,0,America/Chicago
6981,Whittemore,Kossuth County,IA,Iowa,50598,City,43.06191,-94.42692,515,492,219,40750,1088793,0,America/Chicago
6982,Whitten,Hardin County,IA,Iowa,50258 50269 50627,City,42.26082,-93.00548,641,149,52,28750,1397728,6498,America/Chicago
6983,Willey,Carroll County,IA,Iowa,51401,City,41.97915,-94.82221,712,101,28,42500,643172,0,America/Chicago
6984,Williams,Hamilton County,IA,Iowa,50271,City,42.48831,-93.54493,515,335,197,48750,2254857,0,America/Chicago
6985,Williamsburg,Iowa County,IA,Iowa,52361,City,41.66112,-92.00907,319,3195,1271,52588,9682649,21499,America/Chicago
6986,Williamson,Lucas County,IA,Iowa,50272,City,41.08778,-93.25493,641,152,58,47500,832499,0,America/Chicago
6987,Wilton,Cedar County/Muscatine County,IA,Iowa,52778,City,41.58911,-91.02548,563,2805,1213,58160,5269398,7155,America/Chicago
6988,Windsor Heights,Polk County,IA,Iowa,50324,City,41.59777,-93.70828,515,4889,2062,58810,3669199,0,America/Chicago
6989,Winfield,Henry County,IA,Iowa,52659,City,41.12308,-91.44127,319,1142,353,41528,2718290,0,America/Chicago
6990,Winterset,Madison County,IA,Iowa,50273,City,41.33082,-94.01384,515,5176,2125,39598,11851427,360471,America/Chicago
6991,Winthrop,Buchanan County,IA,Iowa,50644 50682,City,42.47332,-91.73433,319,849,388,53583,2183250,0,America/Chicago
6992,Wiota,Cass County,IA,Iowa,50274,City,41.40027,-94.88693,712,112,48,34688,821803,0,America/Chicago
6993,Woden,Hancock County,IA,Iowa,50484,City,43.23302,-93.90912,641,223,115,40625,1095168,0,America/Chicago
6994,Woodbine,Harrison County,IA,Iowa,51579,City,41.73832,-95.70278,712,1422,746,40000,3311509,130445,America/Chicago
6995,Woodburn,Clarke County,IA,Iowa,50275,City,41.01194,-93.5991,641,200,96,37500,1647838,0,America/Chicago
6996,Woodward,Dallas County/Boone County,IA,Iowa,50276,City,41.85229,-93.9208,515,1503,463,53618,9358989,0,America/Chicago
6997,Woolstock,Wright County,IA,Iowa,50599,City,42.56664,-93.84383,515,163,91,42917,2745547,0,America/Chicago
6998,Worthington,Dubuque County,IA,Iowa,52078,City,42.39639,-91.11986,563,411,160,59375,1137661,0,America/Chicago
6999,Wyoming,Jones County,IA,Iowa,52362,City,42.05918,-91.00737,563,511,205,49063,1321604,0,America/Chicago
7000,Yale,Guthrie County,IA,Iowa,50277,City,41.77665,-94.35802,641,244,120,39375,707519,0,America/Chicago
7001,Yetter,Calhoun County,IA,Iowa,51433,City,42.31609,-94.8461,712,33,11,16250,325752,0,America/Chicago
7002,Yorktown,Page County,IA,Iowa,51632 51656,City,40.73333,-95.15693,712,83,32,41250,704488,0,America/Chicago
7003,Zearing,Story County,IA,Iowa,50278,City,42.1611,-93.29715,641,537,252,56563,1938971,0,America/Chicago
7004,Zwingle,Dubuque County/Jackson County,IA,Iowa,52079,City,42.29717,-90.68745,563,90,57,39861,425010,0,America/Chicago
