Number,Number1,Number2,Zip,Number3,Number4,Number5,Number6,Latitude,Longitude
11835606,747611,7476,92126,0,0,14,0,NULL,NULL
11835607,747607,7476,92410,0,0,14,0,NULL,NULL
11835608,747606,7476,91790,0,0,14,0,NULL,NULL
11835609,747602,7476,90048,0,0,14,0,NULL,NULL
11835610,747603,7476,90301,0,0,14,0,NULL,NULL
11835611,747612,7476,92020,0,0,14,0,NULL,NULL
11835612,747613,7476,92392,0,0,14,0,NULL,NULL
11835613,747614,7476,92801,0,0,14,0,NULL,NULL
11835614,747615,7476,93065,0,0,14,0,NULL,NULL
11835615,747610,7476,90717,0,0,14,0,NULL,NULL
118541,1047400,10474,90275-6299,0,1,1,2,33.7346,-118.3334
118684,1167200,11672,95482,0,1,1,2,39.1912,-123.229
118693,123600,1236,94027-4301,0,1,1,3,37.4529,-122.1814
118718,123700,1237,95348-2898,0,1,1,2,37.3353,-120.4767
118772,126700,1267,94619-3196,0,1,1,2,37.7891,-122.1673
118888,123800,1238,94613,0,1,1,3,37.7826,-122.1879
118912,123900,1239,92056-3899,0,1,1,1,33.1912,-117.3023
118921,2338700,23387,94103,0,1,4,1,37.7795,-122.4104
11892101,2338701,23387,95926,0,0,4,0,NULL,NULL
11892102,2338702,23387,96001,0,0,4,0,NULL,NULL
11892103,2338703,23387,93711,0,0,4,0,NULL,NULL
118930,2119100,21191,95054-1897,0,1,1,2,37.3913,-121.9822
118958,720400,7204,93030,0,1,1,1,34.1954,-119.1814
118967,2539100,25391,91606-3231,0,1,2,1,34.1827,-118.3961
118976,124000,1240,95350-5800,0,1,1,2,37.652,-121.0097
118994,2185800,21858,94609-2419,0,1,1,1,37.8268,-122.2651
119058,369110,3691,93940,0,0,2,3,36.5998,-121.8968
119067,124200,1242,93940-4799,0,1,1,2,36.5908,-121.8858
119137,711500,7115,93021-1695,0,1,1,2,34.3,-118.8366
119164,124500,1245,91789-1399,0,1,1,2,34.0438,-117.8437
119173,124300,1243,90049-1599,0,1,2,3,34.0821,-118.4805
11917301,124301,1243,90007,0,0,2,0,NULL,NULL
119216,124600,1246,92583-2399,0,1,1,2,33.8074,-116.9701
119234,3933300,39333,92108-3002,0,1,1,1,32.7639,-117.1643
119270,2161800,21618,90028,0,1,1,1,34.1015,-118.3377
119331,124700,1247,94558-6236,0,1,1,2,38.2725,-122.2726
119340,1102400,11024,94103-9946,0,1,1,1,37.7845,-122.4048
119359,1110900,11109,91335-4631,0,1,3,1,34.2008,-118.5267
119368,760600,7606,90010,0,1,1,1,34.0613,-118.2993
119438,1206100,12061,95128,0,1,1,1,37.3028,-121.9507
119456,1112300,11123,90247,0,1,2,1,33.8931,-118.2929
119465,809000,8090,91803,0,1,3,1,34.0802,-118.1487
119508,449400,4494,92408,0,1,1,1,34.0598,-117.2822
119544,2518400,25184,95127-3823,0,1,1,3,37.3591,-121.8159
119553,2542300,25423,94608-2008,0,1,1,1,37.8419,-122.2877
119605,1146000,11460,92037-1011,0,1,1,3,32.9095,-117.2442
119775,3043900,30439,92101,0,1,1,3,32.7133,-117.1533
119845,713000,7130,91344-7401,0,1,1,1,34.2575,-118.4995
119951,718700,7187,95350-2381,0,1,1,1,37.6778,-120.9928
120069,1287200,12872,91768,0,1,2,1,34.0621,-117.751
120078,1170700,11707,91790,0,1,2,1,34.0721,-117.9496
120087,2591600,25916,91101,0,1,1,1,34.1469,-118.1393
120184,117900,1179,94002-1908,0,1,1,3,37.5175,-122.2846
120254,124900,1249,90041-3392,0,1,1,3,34.1262,-118.2108
120272,1298900,12989,92054-5356,0,1,1,1,33.1789,-117.3653
120290,448100,4481,94539-0390,0,1,1,2,37.528,-121.9146
120342,125000,1250,92626,0,1,1,2,33.6702,-117.9114
120403,125100,1251,90045-3505,0,1,1,3,33.9566,-118.4166
120421,1284200,12842,93033-6699,0,1,1,2,34.1649,-119.1555
120537,125200,1252,92831-3199,0,1,1,3,33.8762,-117.8857
120661,793000,7930,92113-1964,0,1,1,1,32.7041,-117.1019
120698,2138300,21383,94304-1337,0,1,1,3,37.3833,-122.186
120740,125400,1254,94708-1597,0,1,1,4,37.8982,-122.2602
120768,125500,1255,91103,0,1,1,3,34.1515,-118.1609
120795,125600,1256,94709,0,1,1,4,37.8766,-122.2633
120838,3163300,31633,90010,0,1,1,3,34.0617,-118.2996
120865,125800,1258,94508-9707,0,1,1,3,38.5741,-122.4496
120883,132900,1329,95211-0197,0,1,1,3,37.9806,-121.3073
120953,125900,1259,92225,0,1,1,1,33.6615,-114.6517
120971,126000,1260,92069-1487,0,1,1,1,33.1502,-117.1817
121017,2059800,20598,94520,0,1,1,1,37.9722,-122.0435
121044,126100,1261,91106-2003,0,1,1,2,34.1446,-118.1182
121150,1014900,10149,90263,0,1,1,3,34.0419,-118.7077
121257,117200,1172,91711-6101,0,1,1,3,34.1034,-117.7059
121275,2304300,23043,92115-3919,0,1,1,2,32.7637,-117.0635
121309,126200,1262,92106-2899,0,1,1,3,32.7133,-117.2512
121345,117300,1173,91711-6319,0,1,1,3,34.0983,-117.7119
121363,126800,1268,93257,0,1,1,2,36.0493,-119.0144
121381,1162600,11626,90502,0,1,3,3,33.8518,-118.2898
121433,1298400,12984,91731,0,1,1,1,34.075,-118.038
121619,128400,1284,92706-3398,0,1,1,2,33.7592,-117.8884
121628,1044100,10441,90407-2138,0,1,1,4,34.01,-118.4905
121637,4161700,41617,96003,0,1,1,1,40.5969,-122.387
121691,132200,1322,92373-0999,0,1,1,3,34.0636,-117.1638
121707,118500,1185,95501-9300,0,1,1,2,40.6967,-124.1951
121859,720300,7203,91786,0,1,1,1,34.1084,-117.6311
121868,1309500,13095,92879,0,1,3,1,33.8832,-117.5135
121886,126900,1269,90601-1616,0,1,1,2,34.0199,-118.0333
121901,127000,1270,92506,0,1,1,2,33.9715,-117.3805
121983,2179908,21799,94501,0,0,28,3,37.7812,-122.2675
121992,1294200,12942,91770-1639,0,1,1,1,34.0808,-118.0828
122117,3109500,31095,90020-1704,0,1,1,4,34.0662,-118.2899
122180,123300,1233,95822-1386,0,1,1,2,38.5419,-121.4917
122205,891800,8918,92692-3635,0,1,1,1,33.5519,-117.6649
122296,701200,7012,94609,0,1,1,3,37.82,-122.2669
122339,127300,1273,92101-4787,0,1,1,2,32.7189,-117.1516
122366,3010611,30106,92008,0,0,31,2,33.1229,-117.2834
122375,127500,1275,92111-4998,0,1,1,2,32.8049,-117.1691
122384,1182000,11820,92126-2999,0,1,1,2,32.9095,-117.1209
122409,115100,1151,92182,0,1,2,3,32.7753,-117.0712
122436,1039500,10395,92110-2492,0,1,1,3,32.7714,-117.1887
122454,394800,3948,94133-2299,0,1,1,3,37.8036,-122.417
122506,127800,1278,94102-6011,0,1,1,3,37.7753,-122.4201
122597,115400,1154,94132,0,1,1,3,37.7213,-122.4779
122603,127900,1279,94960-0000,0,1,1,4,37.9696,-122.5643
122612,132500,1325,94117-1080,0,1,1,3,37.7756,-122.451
122649,2500000,25000,93612-1312,0,1,1,4,36.824,-119.6978
122658,128000,1280,95207,0,1,2,2,37.9946,-121.3172
12265801,128001,1280,95231,0,0,2,0,NULL,NULL
122685,2120700,21207,93291-9283,0,1,12,2,36.328,-119.385
12268501,2120705,21207,932304523,0,0,12,0,NULL,NULL
12268502,2120700,21207,93291,0,1,12,0,NULL,NULL
122694,2120703,21207,93309,0,0,12,2,35.3528,-119.0623
122728,128100,1281,95765-3707,0,1,1,3,38.8197,-121.2923
122746,128200,1282,95128-2798,0,1,1,2,37.3163,-121.9297
122755,115500,1155,95192-0001,0,1,1,3,37.3352,-121.8812
122791,118100,1181,94402-3784,0,1,1,1,37.5344,-122.3361
122834,2577900,25779,93309,0,1,1,2,35.3595,-119.0613
122843,3072700,30727,90010,0,1,3,3,34.0614,-118.2933
122852,2578000,25780,93454,0,1,1,1,34.4039,-119.6997
122889,128500,1285,93109-2394,0,1,1,2,34.4068,-119.698
122931,132600,1326,95053,0,1,2,3,37.3527,-121.9382
12293101,132604,1326,94709,0,0,2,0,NULL,NULL
122977,128600,1286,90405-1628,0,1,1,1,34.019,-118.4704
123013,128700,1287,95401-4395,0,1,1,1,38.4542,-122.7207
123095,2120600,21206,94111-1920,0,1,1,4,37.7984,-122.4001
123165,117400,1174,91711-3905,0,1,1,3,34.1037,-117.7113
123208,719000,7190,94539,0,1,1,1,37.4693,-121.9194
123217,118600,1186,93277-2214,0,1,1,2,36.323,-119.3148
123280,2359300,23593,96002,0,1,1,3,40.5642,-122.3157
123299,128900,1289,96003,0,1,1,2,40.6257,-122.318
123341,129000,1290,95677-3397,0,1,1,2,38.7928,-121.2126
123350,2064300,20643,95340,0,1,1,1,37.3066,-120.4957
123396,2188400,21884,93726,0,1,1,1,36.8028,-119.773
123448,177212,1772,92705,0,0,3,4,33.7661,-117.8521
123457,129100,1291,96003-8606,0,1,1,3,40.6133,-122.333
123484,118700,1187,96094-2899,0,1,1,2,41.4138,-122.3892
123493,950900,9509,95824-1529,0,1,1,1,38.5165,-121.4411
123509,771300,7713,94066-1698,0,1,1,2,37.6305,-122.466
123527,127200,1272,92410-2798,0,1,1,2,34.0887,-117.3138
123554,130200,1302,94575,0,1,1,3,37.84,-122.1068
123563,129200,1292,94534-3197,0,1,1,2,38.2355,-122.1202
123572,115600,1156,94928-3609,0,1,1,3,38.341,-122.6733
123581,2608900,26089,91803,0,1,2,1,34.0815,-118.1505
12358101,2608901,26089,95670,0,0,2,0,NULL,NULL
123633,2597300,25973,92801-1701,0,1,1,3,33.8479,-117.9587
123642,2277400,22774,92868-2609,0,1,1,1,33.7879,-117.8741
123651,129300,1293,92626,0,1,1,3,33.6627,-117.9009
123679,807100,8071,92840-9201,0,1,1,1,33.7747,-117.9384
123800,129400,1294,91910-7299,0,1,1,2,32.6416,-116.9972
123916,408000,4080,94709-1209,0,1,1,4,37.8769,-122.2618
123943,123000,1230,92831-1699,0,1,1,4,33.8898,-117.8862
123952,2075800,20758,90013-1822,0,1,1,3,34.0437,-118.2327
123961,132800,1328,90089,0,1,1,3,34.0211,-118.2839
123970,129500,1295,90010-1106,0,1,1,4,34.0616,-118.2884
124113,130900,1309,93268,0,1,1,2,35.1489,-119.4618
124283,128800,1288,91711-3199,0,1,1,4,34.1076,-117.7153
124292,2358000,23580,93060,0,1,1,3,34.429,-119.0871
124344,2054900,20549,92630,0,1,3,1,33.6193,-117.7047
12434401,2054902,20549,933095001,0,0,3,0,NULL,NULL
12434402,2054903,20549,932775001,0,0,3,0,NULL,NULL
124487,3403300,34033,95841,0,1,1,2,38.6456,-121.3629
124681,2559300,25593,90255,0,1,9,1,33.9861,-118.2262
12468104,2559304,25593,917642409,0,0,9,0,NULL,NULL
12468105,2559305,25593,913162409,0,0,9,0,NULL,NULL
12468106,2559309,25593,919102409,0,0,9,0,NULL,NULL
12468107,2559310,25593,917312409,0,0,9,0,NULL,NULL
12468108,2559312,25593,928012409,0,0,9,0,NULL,NULL
12468109,2502700,25027,322072409,0,1,1,0,NULL,NULL
12468110,2559315,25593,302602409,0,0,9,0,NULL,NULL
12468111,2559317,25593,920693587,0,0,9,0,NULL,NULL
12468112,2559318,25593,952073587,0,0,9,0,NULL,NULL
124706,853700,8537,92408-3403,0,1,1,1,34.0672,-117.284
124779,1244600,12446,90044,0,1,2,1,33.9594,-118.2921
124937,760700,7607,91606-3134,0,1,1,1,34.1865,-118.4038
125028,133400,1334,93003-3872,0,1,1,2,34.277,-119.2307
125082,2128200,21282,92395,0,1,1,1,34.5286,-117.3039
125091,133500,1335,92395-5850,0,1,1,2,34.4722,-117.2615
125170,2242700,22427,94704,0,1,1,2,37.8705,-122.2698
125231,2504200,25042,55401,0,1,1,3,44.9788,-93.2612
125310,2061600,20616,93906-2830,0,1,1,1,NULL,NULL
125462,117600,1176,93210,0,1,1,2,36.1479,-120.3567
125471,859600,8596,90230-3519,0,1,1,1,34.0056,-118.3876
125499,133800,1338,95070-5698,0,1,1,2,37.2631,-122.0097
125532,974800,9748,95826,0,1,7,1,38.5618,-121.3689
125718,2276800,22768,92027,0,1,1,4,33.1214,-117.0464
125727,134100,1341,93108-1089,0,1,1,3,34.4493,-119.6619
125763,134200,1342,90601,0,1,1,3,33.9776,-118.0284
125897,134300,1343,91510-7846,0,1,1,3,34.2092,-118.3407
126012,884600,8846,94704-1796,0,1,1,4,37.8682,-122.2532
126030,2179937,21799,92831-3014,0,0,28,4,33.8807,-117.8903
126049,1085400,10854,92101,0,1,1,4,32.7104,-117.1541
126076,2262400,22624,90046,0,1,1,3,34.0855,-118.3467
126119,134400,1344,95901,0,1,1,2,39.126,-121.5393
126164,2165200,21652,81501,0,1,1,1,39.0782,-108.5076
126182,134500,1345,81101,0,1,1,3,37.4772,-105.8809
126207,758200,7582,80632,0,1,1,1,40.409,-104.7643
126289,134600,1346,80160-9002,0,1,1,1,39.6075,-105.0186
126359,1267000,12670,80247,0,1,1,2,39.6861,-104.8753
126401,450300,4503,80916,0,1,4,1,38.8071,-104.7403
